Drug,Use,category,first trimester ,second trimester,third trimester,breast feeding  (caution concerning the infant to be made),Interaction
Glyburide,"Ant-Diabetes type 1, 2",B,use with caution,use with caution,use with caution,use with caution,"contraindicated in : 
Glyburide should not be used if an allergy to it or similar medicines is present.
It should not be used in type 1 diabetes or diabetic ketoacidosis  (a serious condition caused by very high blood sugar, with or without coma).
It should not be taken together with bosentan.
Use may be affected by other medicines, so a doctor or pharmacist should be consulted before starting.
 use is not recommended in cases of diabetic coma, serious infections, trauma, surgery, liver or kidney problems, pregnancy, or breastfeeding.
In some countries, use is not recommended in people with porphyria (a rare blood disorder).
use with caution in:
After bariatric surgery, immediate-release (IR) medicines are usually preferred, since extended-release (ER) ones may not be absorbed well.
Low blood sugar (hypoglycemia) may occur after gastric bypass, sleeve gastrectomy, or gastric band. Medicines that do not lower blood sugar too much may be safer.
Insulin production and sensitivity may improve after surgery, especially with gastric bypass, followed by sleeve, and then band. These benefits may start soon after surgery and continue to improve over months.
Weight gain may still happen after surgery, so the benefits and risks of treatment should be reviewed.
People with a condition called G6PD deficiency may be at higher risk for a type of anemia caused by glyburide. Rarely, this can also happen in people without this condition.
In kidney disease, glyburide may build up in the body and cause low blood sugar that lasts a long time. For this reason, its use is usually not recommended in chronic kidney disease.
During times of illness, infection, fever, trauma, or surgery, treatment may need to be stopped and insulin may be used instead.
contact your physician if any of these happened : 
Very low blood sugar, which may cause shakiness, sweating, dizziness, or confusion
Low salt levels in the blood, which may cause weakness, headache, or nausea
Breaking down of red blood cells, which may lead to tiredness or pale skin
Yellowing of the skin or eyes caused by liver or bile problems
Serious liver problems, which can include liver failure
Inflammation of the liver, which may cause fatigue, stomach pain, or dark urine
Swelling of the face, lips, tongue, or throat, which can make breathing difficult
Severe skin rash with blisters
Painful red or purple spots or patches on the skin
Peeling or shedding of the skin
Inflammation of the blood vessels, which may cause skin spots, pain, or swelling"
Glipizide,"Ant-Diabetes type 1, 2",B,use with caution,use with caution,use with caution,use with caution,"contraindicated in :
This medicine should not be used if there is an allergy to glipizide, sulfa medicines, or any ingredient in the tablet.
It should not be used in people with type 1 diabetes.
It should not be used in people who have diabetic ketoacidosis (a serious condition caused by very high blood sugar, with or without coma).
Although the package information says it should not be used in people allergic to sulfa drugs, experts believe the risk of cross-allergy may not be as strong as once thought
use with 
use with caution:
Before surgery, the reason for using the medicine, current symptoms, and treatment goals should be recorded so that progress can be checked after surgery.
Right after surgery, low blood sugar may occur, especially as the body starts making and using insulin more effectively.
After surgery, medicines such as DPP-4 inhibitors, GLP-1 agonists, insulin, and metformin are usually preferred for blood sugar control.
Sulfonylureas are generally avoided after surgery because of the risk of low blood sugar and possible weight gain.
The medicine should be monitored after surgery to make sure it is still effective and well-tolerated, and it may need to be changed if the condition worsens.
In people with G6PD deficiency, a higher risk of a type of anemia (caused by breakdown of red blood cells) may be present. This reaction has also rarely been seen in people without G6PD deficiency. Alternatives may be considered in such cases.
Caution should be taken if liver problems are present.
should be discontinued at least 2 weeks before the expected delivery date.
Caution should be taken if kidney problems are present.
The medicine may need to be stopped and insulin used instead during times of stress such as fever, serious infection, injury, or surgery.
use with caurtion if any of these happened:
Severe low blood sugar (hypoglycemia): Symptoms may include sweating, shaking, dizziness, hunger, confusion, blurred vision, headache, fast heartbeat, weakness, or even loss of consciousness. Seek medical help promptly if these occur.
Allergic reactions: Look out for skin rashes, itching, swelling, difficulty breathing, or swelling of the throat or tongue. If these appear, call a doctor or emergency services immediately.
Liver problems: Symptoms include yellowing of the skin or eyes (jaundice), stomach pain or swelling, dark urine, pale stools, tiredness, nausea, vomiting, and easy bruising. Contact your physician as these may indicate liver injury.
Low blood cell counts: This can cause unusual bruising or bleeding, infections, fever, chills, pale skin, and shortness of breath. Medical evaluation is necessary.
Low blood sodium levels (hyponatremia or SIADH): Symptoms include headache, nausea, vomiting, confusion, fatigue, muscle weakness, seizures, or coma. Immediate medical attention is needed.
Increased risk of heart and blood vessel problems: If you experience chest pain, swelling in legs or arms, or sudden confusion, consult a healthcare provider quickly.
Other severe blood-related issues: Such as anemia, leukopenia, pancytopenia, or thrombocytopenia, which can present with various symptoms including fatigue and increased infections."
Sitagliptin,"Ant-Diabetes type 1, 2",B,use with caution ,use with caution,use with caution,use with caution ,"contraindications: 
Serious hypersensitivity (eg, anaphylaxis, angioedema) to sitagliptin or any component of the formulationSerious hypersensitivity (eg, anaphylaxis, angioedema) to sitagliptin or any component of the formulation
use with caution:
Before weight loss surgery, reasons for taking the medicine, current symptoms, and treatment goals should be recorded so they can be checked again after surgery.
After weight loss surgery, medicines such as metformin, insulin, or other newer diabetes medicines are usually preferred over sulfonylureas, because they may work better and cause fewer problems like low blood sugar or weight gain.
In a study, sitagliptin was found to be safe and helpful in lowering blood sugar after meals in some people who had gastric bypass surgery and still had type 2 diabetes.
After surgery, blood sugar and response to medicines should be closely monitored. If the condition worsens, a switch to another medicine may be needed.
If kidney function is reduced (moderate to severe kidney disease or kidney failure needing dialysis), this medicine should be used with caution, and the dose may need to be adjusted.
contact your physician if any of these happened:
Severe joint pain (arthralgia): May be disabling and involve inflammatory joint conditions. Symptoms usually improve after stopping the drug but may recur if restarted.
Severe skin reactions: Including bullous pemphigoid (blistering skin condition), Stevens-Johnson syndrome, toxic epidermal necrolysis, and drug reaction with eosinophilia and systemic symptoms (DRESS). These may require urgent medical attention.
Hypersensitivity reactions: Anaphylaxis and angioedema (swelling of face, throat, or mouth) can occur, sometimes quickly after starting treatment.
Pancreatic problems: Acute pancreatitis, including severe forms like hemorrhagic and necrotizing pancreatitis, chronic pancreatitis, and rarely pancreatic cancer. Symptoms like severe abdominal pain warrant immediate medical evaluation.
Heart failure risk: While not clearly increased with sitagliptin, patients with preexisting heart failure should be cautious and inform their doctor.
Kidney injury: Acute kidney injury and interstitial nephritis have been reported, sometimes requiring dialysis."
Levothyroxine,Hypothyroidism,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindications: 
Uncorrected adrenal insufficiency should be identified before starting treatment.
A known allergy to glycerol (in some oral solutions like Ermeza, Tirosint-SOL) or edetate disodium (in Ermeza) may be present.
Hypersensitivity to levothyroxine or any component of the medicine might be possible, and medical advice should be sought.
Untreated pituitary gland problems causing hormone deficiencies could be present.
Subclinical or overt hyperthyroidism of any cause should be recognized before use.
Recent or acute heart problems such as a heart attack (acute myocardial infarction), myocarditis, or inflammation involving the entire heart (acute pancarditis) may exist.
Pregnant women taking medications to reduce thyroid hormone levels (such as methimazole or propylthiouracil) should be under medical supervision.
use with caution:
Adrenal insufficiency requires caution; treatment with glucocorticoids should come first. Use is not allowed if uncorrected.
Thyroid nodules usually should not be treated with levothyroxine to fully suppress TSH.
Levothyroxine may only be used with iodine in young patients with small nodules in iodine-deficient areas.
Avoid use in older adults, postmenopausal women, heart disease, osteoporosis, large nodules, long-standing goiters, or low-normal TSH.
Lower starting doses and careful adjustment are needed in heart disease and older adults.
Diabetes patients need caution as blood sugar control may worsen.
Use the lowest effective dose to protect bones in osteoporosis.
Mild hypothyroidism in thyroiditis may not need treatment; overt cases might.
Avoid switching brands without doctor advice; monitoring is needed, especially for children.
Allergic reactions may require dose changes, slow increases, different products, or allergist referral.
contact your physician if any of these happened:
Chest pain or tightness (angina pectoris) and abnormal heart rhythms (cardiac arrhythmia) may be experienced.
Heart failure symptoms could be developed.
A sudden increase in blood pressure or a rapid heartbeat (tachycardia) might occur.
Severe allergic skin reactions such as lichenoid eruptions or hives (urticaria) could appear.
Signs of liver problems, including hepatitis or increased liver enzymes, may be noticed.
Difficulty breathing (dyspnea) might be observed.
Fever without an obvious cause may develop.
Symptoms indicating a possible heart attack (acute myocardial infarction) or stress cardiomyopathy (takotsubo cardiomyopathy) could manifest.
Serious nervous system problems such as seizures or acute episodes of mania might take place.
Unusual neurological symptoms like idiopathic intracranial hypertension in children have been reported.
Tenderness or pain in muscles or bones related to decreased bone density might arise.
Infants might experience developmental skull bone problems (craniosynostosis) from overtreatment.
Abdominal cramps, diarrhea, increased appetite, vomiting
If any of these symptoms appear, it is important to contact a healthcare professional promptly."
Propylthiouracil (PTU),Hyperthyroidism,D,use with caution,contraindicated,contraindicated,use with caution,"Contraindications
Hypersensitivity to propylthiouracil 
Use with caution:
Bleeding problems may develop due to low blood clotting factors; monitoring is advised, especially before surgery.
Bone marrow suppression, including severe reduction in blood cells like agranulocytosis and aplastic anemia, might occur, especially in the first 3 months; caution is needed if other drugs affecting bone marrow are used.
Severe skin reactions such as widespread peeling or rash (exfoliative dermatitis) may happen and should lead to stopping the medication.
Unexplained fever should be taken seriously and the medicine discontinued until evaluated.
Serious liver damage, including liver failure and the need for liver transplant, has been reported; early symptoms like appetite loss, itching, stomach pain, or yellowing of skin/eyes should prompt immediate medical advice and stopping the medicine.
Thyroid hormone levels need to be regularly checked as hypothyroidism (low thyroid function) may develop during treatment.
A lupus-like syndrome, causing joint pain, rash, or swollen spleen, may occur.
Kidney inflammation or damage may happen, potentially leading to kidney failure.
Inflammation of the lungs (pneumonitis) has been reported and requires stopping treatment.
Serious inflammation of blood vessels (vasculitis) can occur, sometimes causing bleeding in lungs, brain problems, or severe skin reactions; immediate discontinuation is essential if suspected.
Some formulations contain substances like benzyl alcohol that can be dangerous to newborns and should be avoided or used with caution in this group.
In children, serious liver injury and failure have been reported; close monitoring with blood tests is very important, and use should be limited to short courses only when necessary.
Discontinue use if following occur: Tiredness, nausea, anorexia, fever, pharyngitis, malaise, pruritus, rash, jaundice, light-colored stool or dark urine, joint pain, right upper quadrant pain, abdominal bloating
contact your physician if any of these happened:
A very low number of white blood cells (agranulocytosis, leukopenia, granulocytopenia) may happen, increasing the risk of infections.
Serious allergic reactions causing swelling or inflammation of blood vessels (hypersensitivity angiitis, periarteritis, vasculitis) could occur.
Severe skin problems like rash, itching, blistering, skin peeling, or dangerous conditions such as Stevens-Johnson syndrome and toxic epidermal necrolysis might develop.
Signs of liver problems, including jaundice (yellow skin or eyes), severe liver injury, hepatitis, or liver failure, may appear.
Blood disorders such as aplastic anemia, thrombocytopenia (low platelets), easy bruising or bleeding, and enlarged spleen (splenomegaly) could occur.
Kidney inflammation or damage (glomerulonephritis, nephritis) might cause pain, swelling, or urine changes.
Lung issues like difficulty breathing, lung inflammation (interstitial pneumonitis), or coughing up blood (pulmonary alveolar hemorrhage) could develop.
Severe allergic reactions, including rash, swelling, fever, or drug fever, may happen.
Lupus-like syndrome, causing joint pain, rash, or tiredness, might be experienced.
Other serious symptoms like lymph node swelling (lymphadenopathy), severe swelling (edema), or nerve problems (neuritis, paresthesia, vertigo) could occur.

"
Methimazole,Hyperthyroidism,D,contraindicated,use with caution,use with caution,contraindicated,"contraindications:
Methimazole should not be taken if an allergy to the medicine or any of its ingredients is present.
methimazole should not be taken in the following situations:When breastfeeding,If acute pancreatitis (inflammation of the pancreas) has occurred after taking methimazole in the past
use with caution:
A rare but potentially life-threatening decrease in white blood cells (agranulocytosis) may occur, causing increased risk of infection. Patients should report signs like fever or sore throat immediately.
Rare cases of life-threatening liver damage (hepatotoxicity), including acute liver failure and hepatitis, may develop and are reversible after stopping the medicine.
A lupus-like syndrome, which can affect the skin and kidneys, may rarely develop but usually improves after discontinuation and treatment.
Acute pancreatitis, a serious inflammation of the pancreas, may happen rarely and is typically reversible when the medication is stopped.
Vasculitis, an inflammation of blood vessels which may affect lungs, kidneys, or skin, can occur rarely and may be life-threatening but improves with stopping methimazole and supportive care.
Other serious rare reactions reported include aplastic anemia (severe lack of blood cells), acute kidney injury, glomerulonephritis (kidney inflammation), pulmonary alveolar hemorrhage (bleeding in lungs), and acute hypersensitivity reactions.
contact your physiscian if any of these happened:
Agranulocytosis (very low white blood cells):May occur and can increase the risk of serious infections. Signs such as fever, sore throat, or flu-like symptoms should be reported immediately.
Liver problems (hepatotoxicity):Rare but serious liver damage, including acute liver failure or hepatitis, may occur. Warning signs include yellowing of the skin or eyes, dark urine, severe tiredness, or abdominal pain.
Lupus-like syndrome:A rare reaction that may affect the skin, joints, or kidneys. It usually improves after stopping the medicine.
Acute pancreatitis:Rare inflammation of the pancreas may develop, sometimes serious. Symptoms include severe stomach pain (often spreading to the back), nausea, or vomiting.
Vasculitis (inflammation of blood vessels):May rarely affect the lungs, kidneys, or skin, and in severe cases can cause bleeding in the lungs.
Other rare serious reactions that have been reported:
Aplastic anemia (severe reduction in blood cells, causing weakness, infections, or bleeding)
Kidney problems (such as glomerulonephritis or acute kidney injury)
Lung bleeding (pulmonary alveolar hemorrhage)
Severe allergic reactions (such as rash, swelling, or trouble breathing)"
Dimenhydrinate,"Antiemetics, antinauseants",A,safe but used with caution,safe but used with caution,safe but used with caution,use with caution ,"contraindications:
Do not use this medication if there is an allergy or hypersensitivity to dimenhydrinate or any ingredients in the product.
The injection form should not be given to newborns because it contains benzyl alcohol, which can be harmful.
Allergy to diphenhydramine or 8-chlorotheophylline, which are components of the medication.
Using or having used a monoamine oxidase inhibitor (MAOI) within the past 14 days.
Having narrow angle glaucoma.(high blood pressure in the eye)
Having chronic lung disease.
Having an enlarged prostate (prostatic hypertrophy).
Being under 2 years old.
This medication can interact with other drugs, so dosage or frequency may need adjustment, or the medication might need to be avoided altogether. Always check with a healthcare provider or a drug interactions resource before using.
use with caution in:
if heart problems are present (such as irregular heartbeat, high blood pressure, or heart disease).
if liver problems are present.
if glaucoma or increased eye pressure is present.
if an enlarged prostate or urinary blockage is present.
if stomach or intestinal blockage is present (such as narrowing from an ulcer).
if a history of asthma or breathing problems is present.
if a history of seizures/epilepsy is present.
if thyroid problems are present.
contact the physician if any of these happened:
Serious allergic reaction (anaphylaxis) may occur and requires immediate medical attention.
Rapid or irregular heartbeat (tachycardia) may develop.
Severe skin reactions such as erythema multiforme, fixed drug eruption, skin rash, or hives (urticaria) may happen and should be reported promptly"
Diphenhydramine,"Antiemetics, antinauseants",A,use with caution,use with caution,use with caution,contraindicated,"use with caution in:
if heart problems are present (such as irregular heartbeat, high blood pressure, or heart disease).
if liver problems are present.
if glaucoma or increased eye pressure is present.
if an enlarged prostate or urinary blockage is present.
if stomach or intestinal blockage is present (such as narrowing from an ulcer).
if a history of asthma or breathing problems is present.
if a history of seizures/epilepsy is present.
if thyroid problems are present."
Metoclopramide,"Antiemetics, antinauseants",A,use with caution,use with caution,use with caution,use with caution,"contraindications:
Metoclopramide should not be taken by individuals who are allergic to it or any of its ingredients, as allergic reactions such as swelling of the throat or tongue and difficulty breathing may occur.
The use of metoclopramide should be avoided in cases of blockage, tear, or bleeding in the tomach or intestines, except when it is administered prior to a special test for upper stomach bleeding.
Metoclopramide must not be used in patients diagnosed with pheochromocytoma or other tumors that secrete adrenaline-like chemicals.
Caution should be exercised in patients with a history of seizures, such as epilepsy, as metoclopramide may not be considered safe in these cases.
Previous episodes of abnormal movements or muscle spasms caused by metoclopramide should lead to avoidance of the medication.
Concomitant use with other medications that increase the risk of movement-related side effects is not recommended.
Due to significant drug interactions, other medications should be carefully reviewed by a healthcare provider before metoclopramide is prescribed.
administration of metoclopramide to infants under 1 year of age is not permitted.
use with caution:
Cancer (like breast cancer): Metoclopramide can raise levels of a hormone called prolactin. It’s not fully clear how this might affect breast cancer or other cancers sensitive to hormones. If you’ve had these types of cancer, please talk to your doctor before using this medicine.
Swelling or fluid buildup (such as from heart or liver problems): This medicine can cause your body to hold onto extra fluid, which might make conditions like heart failure or liver disease worse. If you already have swelling or fluid retention, your doctor will need to keep a close eye on you while you take metoclopramide.
Liver problems: If you have moderate or severe liver disease, metoclopramide may stay in your body longer and cause more side effects. Your doctor might need to give you a lower dose. The nasal spray form of this medicine is not recommended in this situation because controlling the dose is harder.
Rare blood condition (NADH-cytochrome b5 reductase deficiency): Some people have a rare inherited blood disorder. If you have this condition, metoclopramide could increase the risk of serious blood problems. Make sure to tell your doctor if you have any blood conditions.
Parkinson’s disease: Metoclopramide can make Parkinson’s symptoms—like stiffness, shaking, or slow movement—worse. It should be avoided if you have Parkinson’s or are taking medicine for it.
Kidney problems: If you have moderate to severe kidney disease, metoclopramide might build up in your body and cause more side effects. Your doctor might need to adjust your dose. The nasal spray form is not recommended here, either, because the dose can’t be easily lowered.
Recent stomach or intestinal surgery: If you recently had surgery on your stomach or intestines—especially if parts were reconnected—this medicine should be used carefully. It speeds up digestion, which might stress areas that are still healing.
contact your physician if any of these happened:
Central nervous system depression may be experienced, including drowsiness, fatigue, dizziness, and confusion. These usually improve within 24 hours after stopping the medication.
Extrapyramidal symptoms may develop, such as involuntary muscle movements (including twisting or spasms of the face, limbs, or neck), restlessness, tremors, slow movements, or stiff muscles. Some symptoms can appear quickly, while others may develop after weeks or months. Some effects might be long-lasting but could improve after the medicine is stopped.
High levels of the hormone prolactin may be caused, leading to symptoms such as unexpected milk production, changes in menstrual periods, breast enlargement in men, or sexual dysfunction. These symptoms are often reversible after stopping the medicine.
Serious heart problems can occur, including slow heart rate, irregular heartbeat, or even heart failure, especially with high doses or rapid administration.
Severe allergic reactions may happen, causing swelling of the tongue or throat, difficulty breathing, or angioedema (swelling under the skin).
Blood disorders, such as very low white blood cell counts (agranulocytosis, neutropenia) or abnormal blood pigments (methemoglobinemia, sulfhemoglobinemia), may develop.
Neuroleptic malignant syndrome, a rare but life-threatening reaction characterized by high fever, muscle stiffness, and altered mental status, may occur.
Mental health effects such as depression, hallucinations, confusion, seizures, or suicidal thoughts have been reported in rare cases.
Rare respiratory issues, including laryngospasm (tightening of the throat muscles) and bronchospasm (narrowing of airways), may be experienced."
Ondansetron,"Antiemetics, antinauseants",B1,contraindicated,use with caution,use with caution,use with caution,"Contraindications:
Hypersensitivity to ondansetron or any component of the formulation; concomitant use with apomorphine
contact your physician if any of these happened:
Immediate allergic reactions may be experienced, including swelling of the tongue or throat, difficulty breathing, low blood pressure, hives, bronchospasm, or anaphylaxis. These usually happen quickly after taking the medication.
Serious heart rhythm problems may occur, including a prolonged QT interval, irregular heartbeat, slow heart rate, ventricular arrhythmias, or a rare form of dangerous heart rhythm called torsades de pointes. These effects usually happen within a few hours after administration.
Severe constipation or intestinal blockage may develop, sometimes after continued use.
Severe headache, sometimes rapid in onset and lasting for hours or days, may be reported and require medical attention.
Low blood pressure or episodes of fainting (syncope) may occur and should be monitored.
Serious skin reactions such as Stevens-Johnson syndrome or toxic epidermal necrolysis, characterized by widespread rash, blistering, and peeling of the skin, may develop.
Severe respiratory symptoms like difficulty breathing, laryngeal edema (swelling of the throat), stridor (noisy breathing), or bronchospasm may be experienced.
Severe neurological reactions, including dystonic reactions (involuntary muscle contractions), serotonin syndrome (a serious condition caused by too much serotonin), seizure activity (tonic-clonic epilepsy), or extrapyramidal symptoms, may develop."
Promethazine,"Antiemetics, antinauseants",C,use with caution,use with caution,use with caution,use with caution,"contraindications:
Allergic reactions or unusual responses to promethazine, similar medicines (phenothiazines), or any ingredient in the medication should be avoided.
Use is not recommended if a coma is present.
This medicine should not be used to treat symptoms of lower breathing problems, such as asthma.
It should not be given to children under 2 years of age.
The medicine must not be injected into an artery or under the skin.
use with caurtion:
Caution is advised if bone marrow problems are present, as blood cell counts (white blood cells) may decrease.
If heart or blood vessel diseases exist, caution should be taken.
Care should be used if there are problems with stomach or intestinal movement or blockages, as this medicine might make these worse.
If you have narrow-angle glaucoma (an eye condition), use should be cautious because the medicine may worsen it.
Caution is needed if liver problems are present; this medicine may cause liver-related jaundice. In children with liver disease signs, use should be avoided because side effects might look similar to liver problems.
If you have myasthenia gravis (a muscle weakness condition), the medicine might make symptoms worse.
Eye conditions, especially those affecting vision or glaucoma, require caution as the medicine may worsen these.
If Parkinson’s disease is present, use should be cautious due to an increased risk of movement side effects.
Avoid use if lung or breathing problems exist, especially if there is a risk of respiratory failure (such as COPD or sleep apnea).
People at risk for seizures (like those with a seizure history, brain injury, alcoholism, or taking certain medications) should use this medicine cautiously.
If urinary problems like difficulty emptying the bladder, enlarged prostate, or blockage are present, caution is needed as symptoms may worsen.
contact your physiscian if any of these appears:
Signs of severe allergic reactions, such as swelling of the face or throat (angioedema), or severe skin reactions.
Sudden muscle spasms or involuntary movements (extrapyramidal symptoms) including restlessness, stiffness, tremors, or uncontrollable facial movements.
Symptoms of neuroleptic malignant syndrome, a rare but life-threatening condition, including high fever, muscle stiffness, confusion, fast heartbeat, and sweating.
Severe dizziness or fainting caused by a drop in blood pressure when standing up (orthostatic hypotension).
Breathing problems or very slow, shallow breathing (respiratory depression), especially in children under 2 years or people with lung problems.
Severe tissue damage or pain at the injection site, including skin death (necrosis), which can lead to serious injury.
Unusual changes in heart rate, such as very slow heartbeat (bradycardia).
Signs of bone marrow problems, such as easy bruising, bleeding, or frequent infections, which may be caused by low blood cell counts.
Severe confusion, delirium, or hallucinations."
Doxylamine,"Antiemetics, antinauseants",A,use with caution,use with caution,use with caution,use with caution,"contraindications :
Use together with other products containing doxylamine is not advised.
Use is avoided if there is not enough time for a full night’s sleep after taking the medicine.
Hypersensitivity to doxylamine or any component of the formulation.
Narrow-angle glaucoma.
Asthmatic attacks.
Prostatic hypertrophy (enlarged prostate).
Stenosing peptic ulcer or pyloroduodenal obstruction.
Bladder-neck obstruction.
Concurrent use with monoamine oxidase inhibitors (MAOIs).
contact your physician if any of these happened : 
Before using this medicine for self-medication (OTC), notification of a healthcare provider is recommended if breathing problems such as chronic bronchitis or emphysema are present.
Notification should also be made if glaucoma is known.
If difficulty in urination due to an enlarged prostate gland exists, a healthcare provider should be informed before use.
Use of sedatives, sleep-aids, tranquilizers, other antihistamines, or any other medications should be reported to a healthcare provider prior to use.
If sleeplessness continues for more than 2 weeks, use should be discontinued and a healthcare provider should be notified.
Allergic reactions or unusual responses, such as those related to hypersensitivity to doxylamine or any ingredient in the product, may be experienced.
Feelings of heart palpitations or an increased heart rate (tachycardia) may be noticed.
Changes in the central nervous system, including disorientation, dizziness, drowsiness, headache, unusual stimulation, or vertigo, may occur.
Some digestive symptoms such as loss of appetite, constipation, diarrhea, dry mouth or throat, and stomach pain may be experienced.
Urinary symptoms like painful urination or difficulty emptying the bladder may be observed.
Visual disturbances such as blurred vision or double vision could be experienced."
Loratadine,Antihistamines,B1,use with caution,use with caution,use with caution,use with caution,"Contraindications:
Hypersensitivity to loratadine or any component of the formulation
Use with cautions:
Caution should be taken if liver problems are present, as loratadine exposure may increase.
Use with care in patients with kidney problems.
Effects may increase if loratadine is taken with sedative medicines or alcohol.
Some loratadine forms contain substances like benzyl alcohol or benzoic acid, which can be harmful to newborns and should be avoided or used carefully in this group.
Some products may contain phenylalanine, which should be considered in patients with phenylketonuria.
In older adults, dosing should be started carefully due to variable metabolism.
Use in young children under 4 years, especially under 2 years, is not recommended due to serious risks including death; caution is advised in children 2 years and older.
During pregnancy, loratadine is generally considered safe, but higher-than-standard doses have not been well studied.
Breastfeeding infants exposed to loratadine may show drowsiness or irritability, and monitoring is recommended.
contact your physician if any of these happened : 
Severe allergic reactions such as anaphylaxis or angioedema (swelling of the face, lips, tongue, throat, or sudden difficulty breathing) should be reported immediately.
Seizure activity should be reported and evaluated without delay.
Signs of serious liver problems — for example, jaundice (yellowing of the skin or eyes), dark urine, severe abdominal pain, or other symptoms of hepatitis — should prompt immediate medical contact.
Abnormal bleeding or bruising (for example from thrombocytopenia or purpuric disease) should be reported promptly.
Severe skin reactions such as erythema multiforme (widespread rash, blisters, or skin peeling) should be brought to a doctor’s attention right away.
New or worsening breathing problems (bronchospasm, severe shortness of breath, wheezing, or coughing up blood/hemoptysis) should be reported urgently.
Serious cardiovascular symptoms — chest pain, fainting (syncope), very fast or irregular heartbeat (including supraventricular tachycardia or severe palpitations), or sudden large changes in blood pressure — should be reported immediately.
New or rapidly worsening peripheral swelling (peripheral edema) should be discussed with a doctor.
Any unexpected, severe, or rapidly worsening symptom that causes concern should be reported to a healthcare professional right away"
Cetirizine,Antihistamines,B2,contraindicated,use with caution,use with caution,use with caution,"Contraindications:
Hypersensitivity to cetirizine, hydroxyzine, levocetirizine, or any component of the formulation.
It should not be used in the first 3 months of pregnancy
Use with cautions:
patients with liver problems, as dosage adjustments may be needed.
Careful use is advised in patients with kidney problems, with possible dose changes.
Effects may increase when taken with sedatives or alcohol.
Some forms contain substances like propylene glycol, which may be harmful or toxic in large amounts, especially in newborns and young children.
Older adults may be more sensitive to side effects, so caution and possible dose adjustment are needed.
Use in young children under 4 years old should be cautious due to limited safety data; serious risks including death have been reported with cough and cold products.
During pregnancy, cetirizine is generally considered safe, but higher doses haven't been studied enough.
Breastfeeding infants exposed to cetirizine should be watched for drowsiness or irritability.
contact your physician if any of these happened : 
Severe allergic reactions such as anaphylaxis or angioedema (swelling of face, lips, tongue, or throat) may occur.
Seizures could be experienced.
Serious liver problems like hepatitis, increased bilirubin, cholestasis, or elevated liver enzymes could develop.
Blood problems such as hemolytic anemia or low platelet count (thrombocytopenia) may happen. 
Heart-related issues including severe low blood pressure (hypotension), chest pain, palpitations, syncope (fainting), or tachycardia might occur.
Serious breathing problems such as bronchospasm, difficulty breathing (dyspnea), or pneumonia could develop.
Severe skin reactions including bullous rash or severe dermatitis may appear.
Severe behavioral or nervous system effects like hallucinations, delusions, psychosis, aggressive behavior, suicidal thoughts, or sedation may happen.
Kidney inflammation (glomerulonephritis) might be experienced.
Vision problems like blindness, glaucoma, or severe eye pain could occur.
Unusual muscle movements such as orofacial dyskinesia (involuntary facial movements) might develop.
Persistent or severe swelling in the face or other areas may be present.
"
Fexofenadine,Antihistamines,B2,contraindicated,contraindicated,contraindicated,use with caution,"Contraindications:
An allergic reaction to fexofenadine or any component of the formulation.
It should not be used in  pregnancy
Use with cautions:
Caution should be taken in patients with kidney problems; dose adjustments may be necessary.
Some fexofenadine products may contain phenylalanine, which should be considered in patients with phenylketonuria.
Over-the-counter use should not exceed the recommended dose, and simultaneous use with aluminum or magnesium antacids or fruit juices should be avoided.
Older adults and patients with reduced kidney function may have higher drug levels and should start at lower doses with careful monitoring.
Use in young children under 4 years is not well studied; serious risks including death have been reported with some cough and cold products containing multiple ingredients.
Some dosage forms contain propylene glycol, which can cause serious toxic effects, especially in newborns or high doses.
Breastfed infants exposed to fexofenadine or related drugs should be watched for irritability, jitteriness, or drowsiness.
contact your physician if any of these happened : 
Severe allergic reactions such as anaphylaxis or angioedema (swelling of face, lips, tongue, or throat) may occur.
Serious skin conditions like Stevens-Johnson syndrome or toxic epidermal necrolysis (severe rash with skin peeling) could develop.
Severe hypersensitivity reactions might appear.
Unusual or severe nosebleeds (epistaxis) may happen.
Persistent or severe insomnia, nervousness, nightmares, or other sleep disorders could be experienced.
"
Chlorphenamine,Antihistamines,A,safe but used with caution,safe but used with caution,contraindicated,use with caution,"Contraindications:
Hypersensitivity to chlorpheniramine maleate or any component of the formulation.
do not use to make a child sleep.
It should not be used in the last 3 months of pregnancy
Use with cautions:
Caution should be taken as chlorphenamine may cause drowsiness and impair mental or physical abilities; activities like driving or operating machinery should be avoided if affected.
Injection forms should be used cautiously in patients with heart problems, including severe high blood pressure.
Use caution if epilepsy or seizures are present.
Careful use is needed if increased eye pressure or glaucoma exists.
Patients with prostate enlargement or urinary blockage should be cautious with certain formulations.
Respiratory diseases such as asthma, bronchitis, or bronchiectasis may require special caution when using injections.
Thyroid disorders, including overactive thyroid, call for careful use of injections.
In young children, antihistamines may cause excitability rather than drowsiness.
Some formulations contain benzyl alcohol or propylene glycol, which may cause serious toxic effects in newborns or at high doses.
Before using over-the-counter products, patients with breathing problems, glaucoma, urinary difficulties, or those taking sedatives should inform their healthcare provider.
In older adults, confusion, constipation, or urinary problems may be worsened; other antihistamines may be preferred."
